DB ID,Parasite Reported Name,Parasite Corrected Name,Host Reported Name,Host Corrected Name C&H,Host Corrected Name W&R05,Location,Latitude,Longitude,Resolution,Prevalence,Sample Size,Sample Basis,Host Sex,Host Age,Parasite Type,Close,Sexual,Vertical,Nonclose,Vector,Intermediate,Citation,Full Reference
5726,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Montes Azules,16.8,-91.3,,0.044,,Samples,,,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5727,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Reforma Agraria,17.4,-91.7,,0.0,,Samples,,,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5728,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,ET forestry reserve,19.8,-90.5,SL,0.026,,Samples,,,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5729,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Calakmul,18.11,-89.81,SL,0.0,,Samples,,,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5730,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Palenque,17.5,-91.98,,0.172,,Samples,,,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5731,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Montes Azules,16.8,-91.3,,0.0,,Samples,,,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5732,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Reforma Agraria,17.4,-91.7,,0.059,,Samples,,,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5733,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,MEXICO,23.0,-102.0,N,0.0,,Samples,,,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5734,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,MEXICO,23.0,-102.0,N,0.045,,Samples,,,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5735,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,MEXICO,23.0,-102.0,N,0.0,,Samples,,,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5736,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,ET forestry reserve,19.8,-90.5,SL,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5737,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,ET forestry reserve,19.8,-90.5,SL,0.071,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5738,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,Calakmul,18.11,-89.81,SL,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5739,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,Calakmul,18.11,-89.81,SL,0.0,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5740,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,Palenque,17.5,-91.98,,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5741,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,Palenque,17.5,-91.98,,0.0,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5742,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,Montes Azules,16.8,-91.3,,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5743,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,Montes Azules,16.8,-91.3,,0.2,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5744,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,Reforma Agraria,17.4,-91.7,,0.143,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5745,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,Reforma Agraria,17.4,-91.7,,0.0,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5746,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,ET forestry reserve,19.8,-90.5,SL,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5747,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,ET forestry reserve,19.8,-90.5,SL,0.0,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5748,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Calakmul,18.11,-89.81,SL,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5749,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Calakmul,18.11,-89.81,SL,0.125,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5750,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Palenque,17.5,-91.98,,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5751,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Palenque,17.5,-91.98,,0.0,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5752,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Montes Azules,16.8,-91.3,,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5753,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Montes Azules,16.8,-91.3,,0.067,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5754,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Reforma Agraria,17.4,-91.7,,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5755,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Reforma Agraria,17.4,-91.7,,0.0,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5756,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,ET forestry reserve,19.8,-90.5,SL,0.048,,Samples,Female,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5757,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,ET forestry reserve,19.8,-90.5,SL,0.0,,Samples,Male,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5758,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Calakmul,18.11,-89.81,SL,0.0,,Samples,Female,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5759,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Calakmul,18.11,-89.81,SL,0.0,,Samples,Male,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5760,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Palenque,17.5,-91.98,,0.125,,Samples,Female,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5761,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Palenque,17.5,-91.98,,0.333,,Samples,Male,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5762,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Montes Azules,16.8,-91.3,,0.0,,Samples,Female,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5763,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Montes Azules,16.8,-91.3,,0.0,,Samples,Male,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5764,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Reforma Agraria,17.4,-91.7,,0.0,,Samples,Female,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5765,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,Reforma Agraria,17.4,-91.7,,0.0,,Samples,Male,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5766,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,UNKNOWN,,,O,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5767,Controrchis biliophilus,Controrchis biliophilus,Alouatta pigra,Alouatta pigra,Alouatta pigra,UNKNOWN,,,O,0.0,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5768,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,UNKNOWN,,,O,0.0,,Samples,Female,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5769,Raillietina sp.,Raillietina sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,UNKNOWN,,,O,0.125,,Samples,Male,Adult,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5770,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,UNKNOWN,,,O,0.0,,Samples,Female,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5771,Trypanoxyuris sp.,Trypanoxyuris sp.,Alouatta pigra,Alouatta pigra,Alouatta pigra,UNKNOWN,,,O,0.0,,Samples,Male,Adult,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Trejo-Macias et al. 2007,"Trejo-Macías, G., A. Estrada, and M. Mosqueda Cabrera. 2007. Survey of Helminth Parasites in Populations of Alouatta palliata mexicana and A. pigra in Continuous and in Fragmented Habitat in Southern Mexico. International Journal of Primatology 28:931-945."
5772,Toxoplasma IgG,Toxoplasma sp.,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.1,10.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,0.0,1.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
5773,Lemuricola,Lemuricola sp.,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.3,10.0,Animals,,,Helminth,0.0,0.0,0.0,1.0,0.0,0.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
5775,Callistroura,Callistoura sp.,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.3,10.0,Animals,,,Helminth,0.0,0.0,0.0,1.0,0.0,0.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
5776,Psoroptes,Psoroptes sp.,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.04,25.0,Animals,,,Arthropod,1.0,0.0,0.0,1.0,0.0,0.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
5777,Enterococcus,Enterococcus sp.,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.7,,Samples,,,Bacteria,0.0,0.0,0.0,1.0,0.0,0.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
5778,coagulase-negative Staphylococcus,Staphylococcus sp.,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.2,,Samples,,,Bacteria,0.0,0.0,0.0,0.0,0.0,0.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
5779,Escherichia coli,Escherichia coli,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.1,,Samples,,,Bacteria,1.0,0.0,0.0,1.0,0.0,0.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
5780,Streptococcus group D,Streptococcus sp.,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.1,,Samples,,,Bacteria,1.0,0.0,0.0,0.0,0.0,0.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
5781,alpha-hemolytic Streptococcus,Streptococcus sp.,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.1,,Samples,,,Bacteria,1.0,0.0,0.0,0.0,0.0,0.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
5782,Klebsiella ozaenae,Klebsiella pneumoniae,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.1,,Samples,,,Bacteria,1.0,0.0,0.0,1.0,0.0,0.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
5783,Bacillus cereus,Bacillus cereus,Eulemur macaco macaco,Eulemur macaco,Eulemur macaco,Lokobe,-13.42,48.3,SL,0.1,,Samples,,,Bacteria,0.0,0.0,0.0,1.0,0.0,0.0,Junge and Louis 2007,"Junge, R. E., and E. E. Louis. 2007. BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR. Journal of Zoo and Wildlife Medicine 38:67-76."
